BoardNet	N	FPGANet	IOSTANDARD	LOC	SLEW	Other	Notes		
AI_AD_CNV[0]		ana_in_Conv<0>	LVCMOS33	M4	FAST				
AI_AD_CNV[1]		ana_in_Conv<1>	LVCMOS33	M1	FAST				
AI_AD_MISO[0]		ana_in_SDI<0>	LVCMOS33	N4					
AI_AD_MISO[1]		ana_in_SDI<1>	LVCMOS33	N1					
AI_AD_SCK[0]		ana_in_SCK16<0>	LVCMOS33	M5	FAST				
AI_AD_SCK[1]		ana_in_SCK16<1>	LVCMOS33	M2	FAST				
AI_AFE_CS_B[0]		ana_in_CS5<0>	LVCMOS33	P3					
AI_AFE_CS_B[1]		ana_in_CS5<1>	LVCMOS33	P1					
AI_AFE_MOSI[0]		ana_in_SDO<0>	LVCMOS33	P5					
AI_AFE_MOSI[1]		ana_in_SDO<1>	LVCMOS33	N3					
AI_AFE_SCK[0]		ana_in_SCK5<0>	LVCMOS33	P4	FAST				
AI_AFE_SCK[1]		ana_in_SCK5<1>	LVCMOS33	P2	FAST				
AI_MUX0_A[0]		ana_in_Mux0_A<0>	LVCMOS33	L3					
AI_MUX0_A[1]		ana_in_Mux0_A<1>	LVCMOS33	K6					
AI_MUX0_A[2]		ana_in_Mux0_A<2>	LVCMOS33	J6					
AI_MUX1_A[0]		ana_in_Mux1_A<0>	LVCMOS33	L1					
AI_MUX1_A[1]		ana_in_Mux1_A<1>	LVCMOS33	K1					
AI_MUX1_A[2]		ana_in_Mux1_A<2>	LVCMOS33	K2					
BIO[0]			LVCMOS33	A20					
BIO[10]			LVCMOS33	T16					
BIO[11]			LVCMOS33	T15					
BIO[12]			LVCMOS33	U17					
BIO[13]			LVCMOS33	U16					
BIO[14]			LVCMOS33	V19					
BIO[15]			LVCMOS33	V18					
BIO[1]			LVCMOS33	A21					
BIO[2]			LVCMOS33	B20					
BIO[3]			LVCMOS33	B21					
BIO[4]			LVCMOS33	B22					
BIO[5]			LVCMOS33	C19					
BIO[6]			LVCMOS33	C20					
BIO[7]			LVCMOS33	C22					
BIO[8]			LVCMOS33	R16					
BIO[9]			LVCMOS33	R15					
COUNT[0]			LVCMOS33	J1					
COUNT[1]			LVCMOS33	J3					
COUNT[2]			LVCMOS33	J4					
COUNT[3]			LVCMOS33	K3					
COUNT[4]			LVCMOS33	K4					
COUNT[5]			LVCMOS33	K5					
COUNT[6]			LVCMOS33	L4					
COUNT[7]			LVCMOS33	M3					
COUNT_LE[0]			LVCMOS33	H3					
COUNT_LE[1]			LVCMOS33	H4					
COUNT_LE[2]			LVCMOS33	H5					
COUNT_LE[3]			LVCMOS33	H6					
COUNT_LE[4]			LVCMOS33	H8					
COUNT_LE[5]			LVCMOS33	J7					
COUNT_LE[6]			LVCMOS33	K8					
COUNT_LE[7]			LVCMOS33	K7					
COUNT_SDN			LVCMOS33	V5					
DA_CLR_B			LVCMOS33	F2					
DA_CS_B[0]			LVCMOS33	G1					
DA_CS_B[1]			LVCMOS33	G3					
DA_LDAC_B			LVCMOS33	H2	FAST				
